,customer_id,shopping_freq,max_amount,customer_category
473,CS1585,19,92,High
474,CS1586,20,104,Medium
475,CS1587,27,105,Medium
476,CS1588,25,103,Medium
477,CS1589,15,103,High
478,CS1590,16,99,High
479,CS1591,18,95,High
480,CS1592,19,102,High
481,CS1593,20,103,Medium
482,CS1594,13,103,High
483,CS1595,10,84,Low
484,CS1596,19,105,High
485,CS1597,23,105,Medium
486,CS1598,20,102,High
487,CS1599,15,104,High
488,CS1600,20,101,High
489,CS1601,27,103,Medium
490,CS1602,20,102,High
491,CS1603,19,104,High
492,CS1604,28,105,Medium
493,CS1605,27,92,Medium
494,CS1606,13,80,Low
495,CS1607,19,95,High
496,CS1608,14,104,High
497,CS1609,20,94,High
498,CS1610,19,95,High
499,CS1611,23,105,Medium
500,CS1612,26,104,Medium
501,CS1613,21,102,Medium
502,CS1614,22,103,Medium
503,CS1615,20,105,Medium
504,CS1616,19,103,High
505,CS1617,27,101,Medium
506,CS1618,13,89,High
507,CS1619,21,89,High
508,CS1620,16,104,High
509,CS1621,26,98,Medium
510,CS1622,20,105,Medium
511,CS1623,26,104,Medium
512,CS1624,25,102,Medium
513,CS1625,14,104,High
514,CS1626,17,100,High
515,CS1627,16,98,High
516,CS1628,21,103,Medium
517,CS1629,22,100,Medium
518,CS1630,20,104,Medium
519,CS1631,18,104,High
520,CS1632,17,102,High
521,CS1633,26,103,Medium
522,CS1634,15,103,High
523,CS1635,23,103,Medium
524,CS1636,19,100,High
525,CS1637,22,102,Medium
526,CS1638,15,101,High
527,CS1639,23,105,Medium
528,CS1640,19,91,High
529,CS1641,17,104,High
530,CS1642,24,102,Medium
531,CS1643,27,103,Medium
532,CS1644,22,105,Medium
533,CS1645,19,105,High
534,CS1646,17,99,High
535,CS1647,21,100,Medium
536,CS1648,24,104,Medium
537,CS1649,16,105,High
538,CS1650,24,103,Medium
539,CS1651,13,102,High
540,CS1652,26,105,Medium
541,CS1653,26,102,Medium
542,CS1654,19,105,High
543,CS1655,14,99,High
544,CS1656,14,105,High
545,CS1657,18,101,High
546,CS1658,20,102,High
547,CS1659,19,105,High
548,CS1660,24,102,Medium
549,CS1661,32,102,Medium
550,CS1662,17,105,High
551,CS1663,23,96,Medium
552,CS1664,25,105,Medium
553,CS1665,16,104,High
554,CS1666,18,101,High
555,CS1667,20,103,Medium
556,CS1668,17,103,High
557,CS1669,15,104,High
558,CS1670,16,103,High
559,CS1671,17,99,High
560,CS1672,15,102,High
561,CS1673,26,100,Medium
562,CS1674,17,105,High
563,CS1675,28,105,Medium
564,CS1676,28,105,Medium
565,CS1677,21,101,Medium
566,CS1678,18,102,High
567,CS1679,28,104,Medium
568,CS1680,18,99,High
569,CS1681,21,104,Medium
570,CS1682,15,102,High
571,CS1683,17,97,High
572,CS1684,18,105,High
573,CS1685,22,104,Medium
574,CS1686,24,103,Medium
575,CS1687,22,104,Medium
576,CS1688,17,105,High
577,CS1689,16,104,High
578,CS1690,19,104,High
579,CS1691,20,104,Medium
580,CS1692,23,97,Medium
581,CS1693,12,105,High
582,CS1694,22,100,Medium
583,CS1695,32,105,Medium
584,CS1696,19,100,High
585,CS1697,15,98,High
586,CS1698,19,104,High
587,CS1699,18,104,High
588,CS1700,17,102,High
589,CS1701,18,95,High
590,CS1702,17,102,High
591,CS1703,15,103,High
592,CS1704,22,102,Medium
593,CS1705,21,102,Medium
594,CS1706,23,105,Medium
595,CS1707,22,105,Medium
596,CS1708,25,104,Medium
597,CS1709,23,104,Medium
598,CS1710,22,102,Medium
599,CS1711,23,103,Medium
600,CS1712,21,97,High
601,CS1713,19,105,High
602,CS1714,16,105,High
603,CS1715,20,100,High
604,CS1716,6,100,High
605,CS1717,14,103,High
606,CS1718,18,105,High
607,CS1719,17,105,High
608,CS1720,17,103,High
609,CS1721,24,100,Medium
610,CS1722,19,99,High
611,CS1723,17,105,High
612,CS1724,18,98,High
613,CS1725,27,105,Medium
614,CS1726,23,103,Medium
615,CS1727,25,102,Medium
616,CS1728,26,105,Medium
617,CS1729,24,100,Medium
618,CS1730,19,101,High
619,CS1731,17,105,High
620,CS1732,18,104,High
621,CS1733,20,103,Medium
622,CS1734,18,102,High
623,CS1735,14,104,High
624,CS1736,24,100,Medium
625,CS1737,23,104,Medium
626,CS1738,20,99,High
627,CS1739,17,95,High
628,CS1740,25,103,Medium
629,CS1741,19,104,High
630,CS1742,19,99,High
631,CS1743,17,105,High
632,CS1744,14,105,High
633,CS1745,22,105,Medium
634,CS1746,26,103,Medium
635,CS1747,17,101,High
636,CS1748,22,105,Medium
637,CS1749,17,92,High
638,CS1750,22,102,Medium
639,CS1751,23,91,High
640,CS1752,22,104,Medium
641,CS1753,18,104,High
642,CS1754,17,105,High
643,CS1755,17,105,High
644,CS1756,18,99,High
645,CS1757,31,105,Medium
646,CS1758,20,100,High
647,CS1759,24,102,Medium
648,CS1760,21,105,Medium
649,CS1761,16,105,High
650,CS1762,14,102,High
651,CS1763,24,104,Medium
652,CS1764,15,101,High
653,CS1765,14,105,High
654,CS1766,19,100,High
655,CS1767,26,105,Medium
656,CS1768,25,104,Medium
657,CS1769,20,93,High
658,CS1770,25,89,Medium
659,CS1771,19,104,High
660,CS1772,18,105,High
661,CS1773,22,101,Medium
662,CS1774,25,105,Medium
663,CS1775,13,102,High
664,CS1776,25,102,Medium
665,CS1777,14,101,High
666,CS1778,19,97,High
667,CS1779,16,99,High
668,CS1780,19,105,High
669,CS1781,29,105,Medium
670,CS1782,17,94,High
671,CS1783,17,105,High
672,CS1784,15,103,High
673,CS1785,29,102,Medium
674,CS1786,31,104,Medium
675,CS1787,22,103,Medium
676,CS1788,24,97,Medium
677,CS1789,16,104,High
678,CS1790,18,100,High
679,CS1791,21,99,High
680,CS1792,17,102,High
681,CS1793,17,98,High
682,CS1794,24,105,Medium
683,CS1795,17,103,High
684,CS1796,20,103,Medium
685,CS1797,23,95,Medium
686,CS1798,27,103,Medium
687,CS1799,14,96,High
688,CS1800,16,95,High
689,CS1801,15,86,Low
690,CS1802,27,104,Medium
691,CS1803,21,104,Medium
692,CS1804,19,101,High
693,CS1805,31,102,Medium
694,CS1806,15,98,High
695,CS1807,26,104,Medium
696,CS1808,14,93,High
697,CS1809,21,105,Medium
698,CS1810,16,104,High
699,CS1811,18,104,High
700,CS1812,27,104,Medium
701,CS1813,25,105,Medium
702,CS1814,21,105,Medium
703,CS1815,14,101,High
704,CS1816,22,105,Medium
705,CS1817,18,103,High
706,CS1818,22,102,Medium
707,CS1819,26,104,Medium
708,CS1820,25,105,Medium
709,CS1821,20,104,Medium
710,CS1822,13,105,High
711,CS1823,16,104,High
712,CS1824,17,104,High
713,CS1825,23,103,Medium
714,CS1826,15,100,High
715,CS1827,24,103,Medium
716,CS1828,16,102,High
717,CS1829,19,105,High
718,CS1830,17,102,High
719,CS1831,26,105,Medium
720,CS1832,25,103,Medium
721,CS1833,18,103,High
722,CS1834,13,96,High
723,CS1835,19,103,High
724,CS1836,26,102,Medium
725,CS1837,19,104,High
726,CS1838,21,103,Medium
727,CS1839,16,103,High
728,CS1840,19,103,High
729,CS1841,17,105,High
730,CS1842,21,105,Medium
731,CS1843,20,97,High
732,CS1844,22,101,Medium
733,CS1845,13,102,High
734,CS1846,26,104,Medium
735,CS1847,22,105,Medium
736,CS1848,17,99,High
737,CS1849,11,102,High
738,CS1850,24,105,Medium
739,CS1851,21,96,High
740,CS1852,14,103,High
741,CS1853,17,104,High
742,CS1854,22,105,Medium
743,CS1855,19,105,High
744,CS1856,17,103,High
745,CS1857,25,105,Medium
746,CS1858,21,99,High
747,CS1859,19,105,High
748,CS1860,16,101,High
749,CS1861,20,105,Medium
750,CS1862,24,105,Medium
751,CS1863,23,104,Medium
752,CS1864,27,103,Medium
753,CS1865,31,102,Medium
754,CS1866,25,104,Medium
755,CS1867,20,98,High
756,CS1868,16,102,High
757,CS1869,14,104,High
758,CS1870,24,98,Medium
759,CS1871,20,105,Medium
760,CS1872,20,105,Medium
761,CS1873,16,102,High
762,CS1874,16,101,High
763,CS1875,19,104,High
764,CS1876,21,102,Medium
765,CS1877,25,105,Medium
766,CS1878,23,105,Medium
767,CS1879,18,103,High
768,CS1880,18,101,High
769,CS1881,13,105,High
770,CS1882,9,104,High
771,CS1883,15,95,High
772,CS1884,13,104,High
773,CS1885,24,104,Medium
774,CS1886,18,93,High
775,CS1887,19,105,High
776,CS1888,23,105,Medium
777,CS1889,11,101,High
778,CS1890,23,104,Medium
779,CS1891,14,99,High
780,CS1892,18,105,High
781,CS1893,19,104,High
782,CS1894,21,103,Medium
783,CS1895,19,102,High
784,CS1896,12,104,High
785,CS1897,21,104,Medium
786,CS1898,19,105,High
787,CS1899,11,83,Low
788,CS1900,24,100,Medium
789,CS1901,22,98,Medium
790,CS1902,15,105,High
791,CS1903,25,105,Medium
792,CS1904,18,105,High
793,CS1905,24,99,Medium
794,CS1906,28,105,Medium
795,CS1907,20,95,High
796,CS1908,27,105,Medium
797,CS1909,17,104,High
798,CS1910,16,102,High
799,CS1911,24,104,Medium
800,CS1912,23,103,Medium
801,CS1913,16,100,High
802,CS1914,18,100,High
803,CS1915,6,104,High
804,CS1916,23,105,Medium
805,CS1917,17,104,High
806,CS1918,13,99,High
807,CS1919,20,100,High
808,CS1920,28,102,Medium
809,CS1921,26,105,Medium
810,CS1922,20,105,Medium
811,CS1923,30,104,Medium
812,CS1924,25,105,Medium
813,CS1925,28,104,Medium
814,CS1926,22,104,Medium
815,CS1927,19,99,High
816,CS1928,14,98,High
817,CS1929,16,103,High
818,CS1930,22,97,Medium
819,CS1931,19,98,High
820,CS1932,21,102,Medium
821,CS1933,23,104,Medium
822,CS1934,18,105,High
823,CS1935,21,103,Medium
824,CS1936,15,102,High
825,CS1937,18,103,High
826,CS1938,22,104,Medium
827,CS1939,19,102,High
828,CS1940,25,105,Medium
829,CS1941,15,105,High
830,CS1942,18,104,High
831,CS1943,20,104,Medium
832,CS1944,20,105,Medium
833,CS1945,21,103,Medium
834,CS1946,22,103,Medium
835,CS1947,20,105,Medium
836,CS1948,17,96,High
837,CS1949,26,101,Medium
838,CS1950,23,104,Medium
839,CS1951,20,95,High
840,CS1952,18,104,High
841,CS1953,20,105,Medium
842,CS1954,21,105,Medium
843,CS1955,20,103,Medium
844,CS1956,16,105,High
845,CS1957,23,105,Medium
846,CS1958,16,89,High
847,CS1959,22,104,Medium
848,CS1960,19,98,High
849,CS1961,15,105,High
850,CS1962,14,102,High
851,CS1963,19,100,High
852,CS1964,24,99,Medium
853,CS1965,17,103,High
854,CS1966,16,105,High
855,CS1967,18,98,High
856,CS1968,22,105,Medium
857,CS1969,29,102,Medium
858,CS1970,15,103,High
859,CS1971,16,98,High
860,CS1972,22,101,Medium
861,CS1973,10,95,High
862,CS1974,21,101,Medium
863,CS1975,27,104,Medium
864,CS1976,14,102,High
865,CS1977,18,105,High
866,CS1978,31,103,Medium
867,CS1979,17,100,High
868,CS1980,22,102,Medium
869,CS1981,17,101,High
870,CS1982,32,104,Medium
871,CS1983,15,104,High
872,CS1984,15,105,High
873,CS1985,20,99,High
874,CS1986,17,102,High
875,CS1987,24,104,Medium
876,CS1988,23,97,Medium
877,CS1989,19,105,High
878,CS1990,18,105,High
879,CS1991,22,102,Medium
880,CS1992,18,105,High
881,CS1993,19,98,High
882,CS1994,16,100,High
883,CS1995,23,101,Medium
884,CS1996,28,102,Medium
885,CS1997,17,103,High
886,CS1998,25,101,Medium
887,CS1999,14,103,High
888,CS2000,21,103,Medium
889,CS2001,21,102,Medium
890,CS2002,19,101,High
891,CS2003,24,104,Medium
892,CS2004,20,104,Medium
893,CS2005,24,96,Medium
894,CS2006,15,103,High
895,CS2007,18,105,High
896,CS2008,21,105,Medium
897,CS2009,12,104,High
898,CS2010,17,105,High
899,CS2011,14,103,High
900,CS2012,11,101,High
901,CS2013,18,101,High
902,CS2014,11,104,High
903,CS2015,21,100,Medium
904,CS2016,21,101,Medium
905,CS2017,20,105,Medium
906,CS2018,19,104,High
907,CS2019,19,102,High
908,CS2020,18,97,High
909,CS2021,16,104,High
910,CS2022,26,100,Medium
911,CS2023,17,104,High
912,CS2024,17,102,High
913,CS2025,17,105,High
914,CS2026,28,99,Medium
915,CS2027,25,103,Medium
916,CS2028,14,97,High
917,CS2029,17,88,High
918,CS2030,25,105,Medium
919,CS2031,24,102,Medium
920,CS2032,19,105,High
921,CS2033,9,94,High
922,CS2034,21,105,Medium
923,CS2035,19,104,High
924,CS2036,26,102,Medium
925,CS2037,24,104,Medium
926,CS2038,21,104,Medium
927,CS2039,18,93,High
928,CS2040,22,95,High
929,CS2041,20,89,High
930,CS2042,23,101,Medium
931,CS2043,21,103,Medium
932,CS2044,20,87,Low
933,CS2045,20,98,High
934,CS2046,13,105,High
935,CS2047,23,104,Medium
936,CS2048,22,105,Medium
937,CS2049,22,105,Medium
938,CS2050,17,100,High
939,CS2051,20,101,High
940,CS2052,22,103,Medium
941,CS2053,20,102,High
942,CS2054,15,102,High
943,CS2055,29,105,Medium
944,CS2056,23,105,Medium
945,CS2057,17,105,High
946,CS2058,26,103,Medium
947,CS2059,25,103,Medium
948,CS2060,18,100,High
949,CS2061,22,104,Medium
950,CS2062,13,90,High
951,CS2063,16,103,High
952,CS2064,16,104,High
953,CS2065,17,95,High
954,CS2066,15,102,High
955,CS2067,20,102,High
956,CS2068,15,96,High
957,CS2069,21,105,Medium
958,CS2070,19,103,High
959,CS2071,16,103,High
960,CS2072,24,104,Medium
961,CS2073,21,98,High
962,CS2074,17,99,High
963,CS2075,17,102,High
964,CS2076,15,105,High
965,CS2077,12,102,High
966,CS2078,20,103,Medium
967,CS2079,23,103,Medium
968,CS2080,18,105,High
969,CS2081,25,99,Medium
970,CS2082,15,101,High
971,CS2083,26,105,Medium
972,CS2084,18,101,High
973,CS2085,25,104,Medium
974,CS2086,28,102,Medium
975,CS2087,15,105,High
976,CS2088,9,97,High
977,CS2089,22,104,Medium
978,CS2090,13,102,High
979,CS2091,24,105,Medium
980,CS2092,19,101,High
981,CS2093,20,92,High
982,CS2094,21,104,Medium
983,CS2095,27,105,Medium
984,CS2096,16,101,High
985,CS2097,15,105,High
986,CS2098,24,103,Medium
987,CS2099,14,102,High
988,CS2100,18,97,High
989,CS2101,19,97,High
990,CS2102,19,97,High
991,CS2103,17,102,High
992,CS2104,25,104,Medium
993,CS2105,15,95,High
994,CS2106,17,104,High
995,CS2107,14,103,High
996,CS2108,16,102,High
997,CS2109,26,104,Medium
998,CS2110,17,98,High
999,CS2111,21,103,Medium
1000,CS2112,19,102,High
